CATALOG #,Group,Sex,GOL,XCB,BBH,XFB,STB,ASB,FOL,BNL,BPL,ZYB,UFHT,NLH,NLW,OBB,OBH,MAB
1832,ARIKARA,M,173,128,129,103,95,95,41,101,93,132,71,55,24,40,36,65
1833,ARIKARA,M,190,142,137,117,102,108,41,106,103,146,75,55,27,39,33,67
1834,ARIKARA,M,187,145,138,117,111,106,40,104,98,145,74,55,24,41,32,70
1835,ARIKARA,M,175,140,133,113,106,114,37,99,100,136,69,50,25,39,34,68
1836,ARIKARA,M,178,144,133,120,118,105,36,102,100,138,67,53,27,41,37,69
1837,ARIKARA,M,181,147,128,119,113,109,39,108,100,146,71,54,27,41,35,70
2225,N JAPAN,F,172,136,123,113,113,106,34,92,91,122,69,51,22,38,38,58
2226,N JAPAN,F,165,129,121,104,94,109,35,94,93,124,66,54,27,39,35,66
2227,N JAPAN,F,177,141,141,123,123,100,37,101,96,132,64,53,26,41,35,65
2228,N JAPAN,F,185,133,132,107,103,108,39,99,97,129,61,49,26,42,35,64
2229,N JAPAN,F,176,134,139,112,111,100,35,99,91,124,68,51,26,37,36,64
2230,N JAPAN,F,163,124,130,103,103,101,34,98,95,126,64,48,26,36,33,60
2231,N JAPAN,F,181,133,130,113,109,107,37,101,100,140,73,54,29,42,37,69
2232,N JAPAN,F,180,135,136,115,112,107,38,102,96,127,70,53,25,39,36,63
2233,N JAPAN,F,169,132,133,104,103,106,36,95,93,119,67,51,23,36,33,60
2234,N JAPAN,F,172,132,123,108,108,108,36,95,96,122,64,48,25,40,34,63
2235,N JAPAN,F,166,133,126,115,115,104,31,92,88,117,64,50,25,36,32,58
2236,N JAPAN,F,170,140,129,109,100,107,37,94,88,128,68,49,23,39,38,68
2237,N JAPAN,F,174,137,128,114,108,106,36,91,91,124,66,50,27,39,34,60
2238,N JAPAN,F,170,134,127,111,111,111,37,99,94,126,71,51,24,41,34,69
2239,N JAPAN,F,178,136,134,107,105,104,38,97,102,125,65,49,28,37,32,68
2240,N JAPAN,F,178,139,135,115,114,110,32,97,92,129,66,50,25,37,35,63
2241,N JAPAN,F,172,135,131,109,108,109,37,93,92,121,68,51,24,38,36,63
2242,N JAPAN,F,178,133,123,113,109,102,36,91,89,120,63,49,27,37,33,63
2243,N JAPAN,F,164,131,134,112,112,99,31,97,90,121,59,45,26,36,33,60
2244,N JAPAN,F,157,133,128,106,102,98,34,97,100,126,69,49,26,38,33,67
2245,N JAPAN,F,160,132,125,108,107,99,33,91,92,122,64,50,25,36,35,60
2246,N JAPAN,F,174,135,137,112,112,108,36,104,90,132,73,54,26,37,36,62
2247,N JAPAN,F,170,135,123,115,114,104,34,94,85,121,70,55,25,39,35,60
2248,N JAPAN,F,177,146,129,123,122,101,34,93,90,124,69,52,27,39,35,59
2249,N JAPAN,F,175,130,124,104,98,103,37,90,88,120,67,53,28,39,34,60
2250,N JAPAN,F,164,132,122,113,112,96,35,89,91,121,61,44,26,35,30,59
2251,N JAPAN,F,166,130,126,109,108,101,33,93,95,125,61,47,28,38,33,63
2252,N JAPAN,F,171,130,134,105,105,104,36,95,90,118,66,47,27,39,32,58
2253,N JAPAN,F,163,132,128,107,103,102,35,93,86,119,61,49,24,37,35,62
2254,N JAPAN,F,171,125,135,102,98,100,33,101,97,126,65,49,25,39,32,70
2255,N JAPAN,F,172,129,136,115,115,104,38,99,95,129,69,54,26,40,38,65
2256,N JAPAN,F,165,135,123,113,113,107,33,94,92,127,66,50,25,37,34,63
2170,N JAPAN,M,184,139,139,117,110,103,40,105,97,134,69,54,25,39,33,70
2171,N JAPAN,M,183,139,133,116,105,105,36,103,98,138,71,54,26,37,34,74
